"p"	"c"	"o"	"f"	"g"	"s"	"ID"
"kai__0000237"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"NA"	"kai__0000237"
"kai__0000613"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Serratia"	"NA"	"kai__0000613"
"kai__0001663"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	"NA"	"kai__0001663"
"kai__0074385"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Gracilibacillus"	"NA"	"kai__0074385"
"kai__0100883"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Coprobacillus"	"NA"	"kai__0100883"
"kai__1849822"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Paraclostridium"	"NA"	"kai__1849822"
"kai__0000832"	"Fibrobacteres"	"Fibrobacteria"	"Fibrobacterales"	"Fibrobacteraceae"	"Fibrobacter"	"NA"	"kai__0000832"
"kai__0001827"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	"NA"	"kai__0001827"
"kai__0133925"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	"NA"	"kai__0133925"
"kai__0200670"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Crenotrichaceae"	"Crenothrix"	"NA"	"kai__0200670"
"kai__0292636"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Thermoflavimicrobium"	"NA"	"kai__0292636"
"kai__2282523"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylobacteriaceae"	"Methylorubrum"	"NA"	"kai__2282523"
"kai__0000836"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonas"	"NA"	"kai__0000836"
"kai__0000904"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Acidaminococcus"	"NA"	"kai__0000904"
"kai__0001649"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Kurthia"	"NA"	"kai__0001649"
"kai__0191303"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Turicibacter"	"NA"	"kai__0191303"
"kai__0651660"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Paenisporosarcina"	"NA"	"kai__0651660"
"kai__0001129"	"Cyanobacteria"	"NA"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"NA"	"kai__0001129"
"kai__0002132"	"Tenericutes"	"Mollicutes"	"Entomoplasmatales"	"Spiroplasmataceae"	"Spiroplasma"	"NA"	"kai__0002132"
"kai__0002745"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Halomonadaceae"	"Halomonas"	"NA"	"kai__0002745"
"kai__0082800"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Desemzia"	"NA"	"kai__0082800"
"kai__0162289"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Peptoniphilus"	"NA"	"kai__0162289"
"kai__0175304"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Lentibacillus"	"NA"	"kai__0175304"
"kai__0188143"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Enterovibrio"	"NA"	"kai__0188143"
"kai__1935927"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Massilioclostridium"	"NA"	"kai__1935927"
"kai__0155493"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Gallibacterium"	"NA"	"kai__0155493"
"kai__1912216"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Cutibacterium"	"NA"	"kai__1912216"
"kai__0000171"	"Spirochaetes"	"Spirochaetia"	"Leptospirales"	"Leptospiraceae"	"Leptospira"	"NA"	"kai__0000171"
"kai__0207244"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerostipes"	"NA"	"kai__0207244"
"kai__0000113"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Gemmataceae"	"Gemmata"	"NA"	"kai__0000113"
"kai__0231683"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Saccharospirillaceae"	"Saccharospirillum"	"NA"	"kai__0231683"
"kai__0000642"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"NA"	"kai__0000642"
"kai__0000620"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Shigella"	"NA"	"kai__0000620"
"kai__0000776"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Coxiellaceae"	"Coxiella"	"NA"	"kai__0000776"
"kai__0000570"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Klebsiella"	"NA"	"kai__0000570"
"kai__1935200"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Merdibacter"	"NA"	"kai__1935200"
"kai__1847725"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"NA"	"Lawsonella"	"NA"	"kai__1847725"
