"p"	"c"	"o"	"f"	"g"	"s"	"ID"
"kai__0265976"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Serinicoccus"	"NA"	"kai__0265976"
"kai__0285107"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Thioclava"	"NA"	"kai__0285107"
"kai__0331654"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Alkalibacillus"	"NA"	"kai__0331654"
"kai__0334107"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Conchiformibius"	"NA"	"kai__0334107"
"kai__0392332"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Geobacteraceae"	"Geoalkalibacter"	"NA"	"kai__0392332"
"kai__1215913"	"Chloroflexi"	"Caldilineae"	"Caldilineales"	"Caldilineaceae"	"Litorilinea"	"NA"	"kai__1215913"
"kai__2066435"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Geminicoccaceae"	"Arboricoccus"	"NA"	"kai__2066435"
"kai__0000187"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Chromobacteriaceae"	"Aquaspirillum"	"NA"	"kai__0000187"
"kai__0001107"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Chloroflexaceae"	"Chloroflexus"	"NA"	"kai__0001107"
"kai__0002175"	"Euryarchaeota"	"Methanomicrobia"	"Methanosarcinales"	"Methanosarcinaceae"	"Methanohalophilus"	"NA"	"kai__0002175"
"kai__0028186"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"Halobacteroidaceae"	"Acetohalobium"	"NA"	"kai__0028186"
"kai__0028228"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	"Colwellia"	"NA"	"kai__0028228"
"kai__0033874"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Catenuloplanes"	"NA"	"kai__0033874"
"kai__0044675"	"Acidobacteria"	"Holophagae"	"Holophagales"	"Holophagaceae"	"Geothrix"	"NA"	"kai__0044675"
"kai__0046238"	"Tenericutes"	"Mollicutes"	"Entomoplasmatales"	"Entomoplasmataceae"	"Entomoplasma"	"NA"	"kai__0046238"
"kai__0051194"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobulbaceae"	"Desulfofustis"	"NA"	"kai__0051194"
"kai__0094008"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillales Family X. Incertae Sedis"	"Thermicanus"	"NA"	"kai__0094008"
"kai__0100715"	"Chlorobi"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Chloroherpeton"	"NA"	"kai__0100715"
"kai__0112987"	"Chlamydiae"	"Chlamydiia"	"Parachlamydiales"	"Parachlamydiaceae"	"Neochlamydia"	"NA"	"kai__0112987"
"kai__0227873"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Pannonibacter"	"NA"	"kai__0227873"
"kai__0245186"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Loktanella"	"NA"	"kai__0245186"
"kai__0283735"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Leeuwenhoekiella"	"NA"	"kai__0283735"
"kai__0290731"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Aminiphilus"	"NA"	"kai__0290731"
"kai__0332162"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae"	"Candidatus Solibacter"	"NA"	"kai__0332162"
"kai__0447237"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Frondihabitans"	"NA"	"kai__0447237"
"kai__0500614"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Desmospora"	"NA"	"kai__0500614"
"kai__0630723"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"Halanaerobiaceae"	"Halarsenatibacter"	"NA"	"kai__0630723"
"kai__0909928"	"Firmicutes"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Negativicoccus"	"NA"	"kai__0909928"
"kai__1004303"	"Bacteroidetes"	"Chitinophagia"	"Chitinophagales"	"Chitinophagaceae"	"Ferruginibacter"	"NA"	"kai__1004303"
"kai__1077265"	"Armatimonadetes"	"Chthonomonadetes"	"Chthonomonadales"	"Chthonomonadaceae"	"Chthonomonas"	"NA"	"kai__1077265"
"kai__1217415"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Demequinaceae"	"Lysinimicrobium"	"NA"	"kai__1217415"
"kai__1254401"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	"Prolixibacteraceae"	"Sunxiuqinia"	"NA"	"kai__1254401"
"kai__1795789"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Syntrophomonadaceae"	"Candidatus Syntrophonatronum"	"NA"	"kai__1795789"
"kai__1914234"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Gemmataceae"	"Fimbriiglobus"	"NA"	"kai__1914234"
"kai__1980685"	"Firmicutes"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Caecibacter"	"NA"	"kai__1980685"
"kai__2094023"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Glaesserella"	"NA"	"kai__2094023"
"kai__0000105"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Runella"	"NA"	"kai__0000105"
"kai__0000138"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Borreliaceae"	"Borrelia"	"NA"	"kai__0000138"
"kai__0000953"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Anaplasmataceae"	"Wolbachia"	"NA"	"kai__0000953"
"kai__0001060"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rhodobacter"	"NA"	"kai__0001060"
"kai__0001070"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Rhodopila"	"NA"	"kai__0001070"
"kai__0001111"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Erythrobacteraceae"	"Porphyrobacter"	"NA"	"kai__0001111"
"kai__0002299"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfosarcina"	"NA"	"kai__0002299"
"kai__0028065"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"	"NA"	"kai__0028065"
"kai__0033071"	"Cyanobacteria"	"Gloeobacteria"	"Gloeobacterales"	"Gloeobacteraceae"	"Gloeobacter"	"NA"	"kai__0033071"
"kai__0033969"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Melissococcus"	"NA"	"kai__0033969"
"kai__0046200"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"Deferribacteraceae"	"Geovibrio"	"NA"	"kai__0046200"
"kai__0057499"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Dermacoccaceae"	"Kytococcus"	"NA"	"kai__0057499"
"kai__0065097"	"Cyanobacteria"	"NA"	"Chroococcales"	"Aphanothecaceae"	"Euhalothece"	"NA"	"kai__0065097"
"kai__0081411"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Aminomonas"	"NA"	"kai__0081411"
"kai__0106591"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	"NA"	"kai__0106591"
"kai__0125216"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Roseomonas"	"NA"	"kai__0125216"
"kai__0157920"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Promicromonosporaceae"	"Cellulosimicrobium"	"NA"	"kai__0157920"
"kai__0212743"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"NA"	"Rhizobacter"	"NA"	"kai__0212743"
"kai__0245876"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Nitratireductor"	"NA"	"kai__0245876"
"kai__0256846"	"Lentisphaerae"	"Lentisphaeria"	"Lentisphaerales"	"Lentisphaeraceae"	"Lentisphaera"	"NA"	"kai__0256846"
"kai__0271087"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Geobacteraceae"	"Geopsychrobacter"	"NA"	"kai__0271087"
"kai__0347533"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Zobellella"	"NA"	"kai__0347533"
"kai__0361050"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Rubritaleaceae"	"Rubritalea"	"NA"	"kai__0361050"
"kai__0407021"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pseudosphingobacterium"	"NA"	"kai__0407021"
"kai__0427077"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Salsuginibacillus"	"NA"	"kai__0427077"
"kai__0497742"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfatirhabdium"	"NA"	"kai__0497742"
"kai__0743714"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Orbus"	"NA"	"kai__0743714"
"kai__1007082"	"Thaumarchaeota"	"NA"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Nitrosoarchaeum"	"NA"	"kai__1007082"
"kai__1172191"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Catenovulum"	"NA"	"kai__1172191"
"kai__1193515"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Snodgrassella"	"NA"	"kai__1193515"
"kai__1742993"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Pseudarthrobacter"	"NA"	"kai__1742993"
"kai__1792239"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Caviibacter"	"NA"	"kai__1792239"
"kai__0000429"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Methylococcaceae"	"Methylobacter"	"NA"	"kai__0000429"
"kai__0001030"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Thiotrichaceae"	"Thiothrix"	"NA"	"kai__0001030"
"kai__0001849"	"Actinobacteria"	"Actinobacteria"	"Actinopolysporales"	"Actinopolysporaceae"	"Actinopolyspora"	"NA"	"kai__0001849"
"kai__0001860"	"Actinobacteria"	"Actinobacteria"	"Geodermatophilales"	"Geodermatophilaceae"	"Geodermatophilus"	"NA"	"kai__0001860"
"kai__0002225"	"Euryarchaeota"	"Methanomicrobia"	"Methanosarcinales"	"Methanosarcinaceae"	"Methanococcoides"	"NA"	"kai__0002225"
"kai__0028884"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Piscirickettsiaceae"	"Hydrogenovibrio"	"NA"	"kai__0028884"
"kai__0042417"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"Halobacteroidaceae"	"Halobacteroides"	"NA"	"kai__0042417"
"kai__0053572"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"Deferribacteraceae"	"Deferribacter"	"NA"	"kai__0053572"
"kai__0060136"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Sulfitobacter"	"NA"	"kai__0060136"
"kai__0066862"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Ammoniphilus"	"NA"	"kai__0066862"
"kai__0067572"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Psychromonadaceae"	"Psychromonas"	"NA"	"kai__0067572"
"kai__0075687"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Neptunomonas"	"NA"	"kai__0075687"
"kai__0083551"	"Chlamydiae"	"Chlamydiia"	"Parachlamydiales"	"Parachlamydiaceae"	"Parachlamydia"	"NA"	"kai__0083551"
"kai__0083766"	"Proteobacteria"	"Betaproteobacteria"	"Rhodocyclales"	"Rhodocyclaceae"	"Propionivibrio"	"NA"	"kai__0083766"
"kai__0097050"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ruegeria"	"NA"	"kai__0097050"
"kai__0141450"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oleiphilaceae"	"Oleiphilus"	"NA"	"kai__0141450"
"kai__0154116"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Bogoriellaceae"	"Georgenia"	"NA"	"kai__0154116"
"kai__0168694"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Salinispora"	"NA"	"kai__0168694"
"kai__0187144"	"Calditrichaeota"	"Calditrichae"	"Calditrichales"	"Calditrichaceae"	"Caldithrix"	"NA"	"kai__0187144"
"kai__0218207"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfatibacillum"	"NA"	"kai__0218207"
"kai__0323449"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Hymenobacteraceae"	"Pontibacter"	"NA"	"kai__0323449"
"kai__0373053"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Calditerricola"	"NA"	"kai__0373053"
"kai__0380240"	"Planctomycetes"	"Planctomycetia"	"Candidatus Brocadiales"	"Candidatus Brocadiaceae"	"Candidatus Brocadia"	"NA"	"kai__0380240"
"kai__0414878"	"Actinobacteria"	"Actinobacteria"	"Catenulisporales"	"Catenulisporaceae"	"Catenulispora"	"NA"	"kai__0414878"
"kai__0427753"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Humibacter"	"NA"	"kai__0427753"
"kai__0504090"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Halomonadaceae"	"Kushneria"	"NA"	"kai__0504090"
"kai__0655184"	"Proteobacteria"	"Gammaproteobacteria"	"NA"	"NA"	"Candidatus Thioglobus"	"NA"	"kai__0655184"
"kai__0682522"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"Ilumatobacteraceae"	"Ilumatobacter"	"NA"	"kai__0682522"
"kai__0908284"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Necropsobacter"	"NA"	"kai__0908284"
"kai__1114981"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"NA"	"Piscinibacter"	"NA"	"kai__1114981"
"kai__1184606"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Dermatophilaceae"	"Austwickia"	"NA"	"kai__1184606"
"kai__1303912"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfatitalea"	"NA"	"kai__1303912"
"kai__1649480"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Planctopirus"	"NA"	"kai__1649480"
"kai__1937963"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Microscillaceae"	"Eisenibacter"	"NA"	"kai__1937963"
"kai__2202177"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"NA"	"Candidatus Methyloumidiphilus"	"NA"	"kai__2202177"
"kai__0000581"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Morganella"	"NA"	"kai__0000581"
"kai__0001007"	"Bacteroidetes"	"Saprospiria"	"Saprospirales"	"Saprospiraceae"	"Saprospira"	"NA"	"kai__0001007"
"kai__0029548"	"Bacteroidetes"	"NA"	"Bacteroidetes Order II. Incertae sedis"	"Rhodothermaceae"	"Rhodothermus"	"NA"	"kai__0029548"
"kai__0033001"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfurellales"	"Desulfurellaceae"	"Desulfurella"	"NA"	"kai__0033001"
"kai__0034019"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Liberibacter"	"NA"	"kai__0034019"
"kai__0034037"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Rahnella"	"NA"	"kai__0034037"
"kai__0035800"	"Nitrospinae"	"Nitrospinia"	"Nitrospinales"	"Nitrospinaceae"	"Nitrospina"	"NA"	"kai__0035800"
"kai__0040118"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Candidatus Magnetobacterium"	"NA"	"kai__0040118"
"kai__0058113"	"Actinobacteria"	"Actinobacteria"	"Glycomycetales"	"Glycomycetaceae"	"Glycomyces"	"NA"	"kai__0058113"
"kai__0065496"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Actinoalloteichus"	"NA"	"kai__0065496"
"kai__0093171"	"Candidatus Tectomicrobia"	"NA"	"NA"	"NA"	"Candidatus Entotheonella"	"NA"	"kai__0093171"
"kai__0093217"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Pandoraea"	"NA"	"kai__0093217"
"kai__0093682"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Roseivivax"	"NA"	"kai__0093682"
"kai__0109168"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobulbaceae"	"Desulfotalea"	"NA"	"kai__0109168"
"kai__0178469"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Arenibacter"	"NA"	"kai__0178469"
"kai__0180541"	"Proteobacteria"	"Gammaproteobacteria"	"Salinisphaerales"	"Salinisphaeraceae"	"Salinisphaera"	"NA"	"kai__0180541"
"kai__0196118"	"Euryarchaeota"	"Methanococci"	"Methanococcales"	"Methanocaldococcaceae"	"Methanocaldococcus"	"NA"	"kai__0196118"
"kai__0244698"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Gillisia"	"NA"	"kai__0244698"
"kai__0281472"	"Actinobacteria"	"Actinobacteria"	"Jiangellales"	"Jiangellaceae"	"Jiangella"	"NA"	"kai__0281472"
"kai__0286130"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Sulfuricurvum"	"NA"	"kai__0286130"
"kai__0292637"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Seinonella"	"NA"	"kai__0292637"
"kai__0320933"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Salinibacillus"	"NA"	"kai__0320933"
"kai__0332157"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Larkinella"	"NA"	"kai__0332157"
"kai__0427922"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobulbaceae"	"Desulfurivibrio"	"NA"	"kai__0427922"
"kai__0475966"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Leptolinea"	"NA"	"kai__0475966"
"kai__0492233"	"Proteobacteria"	"Gammaproteobacteria"	"NA"	"NA"	"Thiohalorhabdus"	"NA"	"kai__0492233"
"kai__0568987"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Candidatus Hamiltonella"	"NA"	"kai__0568987"
"kai__0599651"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Bermanella"	"NA"	"kai__0599651"
"kai__0909931"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	"Sporolituus"	"NA"	"kai__0909931"
"kai__1150774"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Natribacillus"	"NA"	"kai__1150774"
"kai__1154586"	"Actinobacteria"	"Rubrobacteria"	"Gaiellales"	"Gaiellaceae"	"Gaiella"	"NA"	"kai__1154586"
"kai__1245590"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cyclobacteriaceae"	"Mariniradius"	"NA"	"kai__1245590"
"kai__1434046"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingorhabdus"	"NA"	"kai__1434046"
"kai__1647178"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Aliicoccus"	"NA"	"kai__1647178"
"kai__1649482"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pseudopedobacter"	"NA"	"kai__1649482"
"kai__1775574"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfarculales"	"Desulfarculaceae"	"Dethiosulfatarculus"	"NA"	"kai__1775574"
"kai__1884429"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Salibacterium"	"NA"	"kai__1884429"
"kai__1937972"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Bernardetiaceae"	"Bernardetia"	"NA"	"kai__1937972"
"kai__1980513"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Chromatiaceae"	"Candidatus Nitrosoglobus"	"NA"	"kai__1980513"
"kai__2056696"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Fastidiosibacteraceae"	"Cysteiniphilum"	"NA"	"kai__2056696"
"kai__0001073"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Rhodopseudomonas"	"NA"	"kai__0001073"
"kai__0002357"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophaceae"	"Desulfomonile"	"NA"	"kai__0002357"
"kai__0028067"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"NA"	"Rubrivivax"	"NA"	"kai__0028067"
"kai__0029407"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Rhodoplanes"	"NA"	"kai__0029407"
"kai__0033057"	"Proteobacteria"	"Betaproteobacteria"	"Rhodocyclales"	"Zoogloeaceae"	"Thauera"	"NA"	"kai__0033057"
"kai__0044474"	"Cyanobacteria"	"NA"	"Pleurocapsales"	"Hyellaceae"	"Pleurocapsa"	"NA"	"kai__0044474"
"kai__0046239"	"Tenericutes"	"Mollicutes"	"Entomoplasmatales"	"Entomoplasmataceae"	"Mesoplasma"	"NA"	"kai__0046239"
"kai__0052605"	"Cyanobacteria"	"NA"	"Pleurocapsales"	"Hyellaceae"	"Myxosarcina"	"NA"	"kai__0052605"
"kai__0053452"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Chromatiaceae"	"Lamprocystis"	"NA"	"kai__0053452"
"kai__0059740"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Persicobacteraceae"	"Persicobacter"	"NA"	"kai__0059740"
"kai__0076634"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Mycetocola"	"NA"	"kai__0076634"
"kai__0081416"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanomicrobiaceae"	"Methanofollis"	"NA"	"kai__0081416"
"kai__0082984"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Budviciaceae"	"Pragia"	"NA"	"kai__0082984"
"kai__0099479"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Tetrasphaera"	"NA"	"kai__0099479"
"kai__0118004"	"Chrysiogenetes"	"Chrysiogenetes"	"Chrysiogenales"	"Chrysiogenaceae"	"Chrysiogenes"	"NA"	"kai__0118004"
"kai__0136099"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Knoellia"	"NA"	"kai__0136099"
"kai__0146918"	"Bacteroidetes"	"NA"	"Bacteroidetes Order II. Incertae sedis"	"Rhodothermaceae"	"Salinibacter"	"NA"	"kai__0146918"
"kai__0146936"	"Proteobacteria"	"Betaproteobacteria"	"Rhodocyclales"	"Azonexaceae"	"Azonexus"	"NA"	"kai__0146936"
"kai__0160674"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Raoultella"	"NA"	"kai__0160674"
"kai__0212790"	"Aquificae"	"Aquificae"	"Aquificales"	"Hydrogenothermaceae"	"Sulfurihydrogenibium"	"NA"	"kai__0212790"
"kai__0258255"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Pseudovibrio"	"NA"	"kai__0258255"
"kai__0366614"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Haematobacter"	"NA"	"kai__0366614"
"kai__0422440"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Stenoxybacter"	"NA"	"kai__0422440"
"kai__0453849"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Hyphomonadaceae"	"Henriciella"	"NA"	"kai__0453849"
"kai__0458032"	"Acidobacteria"	"Blastocatellia"	"NA"	"NA"	"Chloracidobacterium"	"NA"	"kai__0458032"
"kai__0478070"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Labrenzia"	"NA"	"kai__0478070"
"kai__0496496"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Viridibacillus"	"NA"	"kai__0496496"
"kai__0655352"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Cohaesibacteraceae"	"Cohaesibacter"	"NA"	"kai__0655352"
"kai__0666508"	"Planctomycetes"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"Phycisphaera"	"NA"	"kai__0666508"
"kai__0695982"	"Euryarchaeota"	"Halobacteria"	"Haloferacales"	"Haloferacaceae"	"Halogranum"	"NA"	"kai__0695982"
"kai__0907202"	"Rhodothermaeota"	"Rhodothermia"	"Rhodothermales"	"Rubricoccaceae"	"Rubricoccus"	"NA"	"kai__0907202"
"kai__1032526"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobia subdivision 3"	"Pedosphaera"	"NA"	"kai__1032526"
"kai__1321364"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Tistlia"	"NA"	"kai__1321364"
"kai__1434011"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Komagataeibacter"	"NA"	"kai__1434011"
"kai__1434037"	"Rhodothermaeota"	"Rhodothermia"	"Rhodothermales"	"Rubricoccaceae"	"Rubrivirga"	"NA"	"kai__1434037"
"kai__1494958"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Pseudogracilibacillus"	"NA"	"kai__1494958"
"kai__1522056"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Flaviflexus"	"NA"	"kai__1522056"
"kai__1535192"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfarculales"	"Desulfarculaceae"	"Desulfocarbo"	"NA"	"kai__1535192"
"kai__1621534"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Paraglaciecola"	"NA"	"kai__1621534"
"kai__1649503"	"Verrucomicrobia"	"Spartobacteria"	"NA"	"NA"	"Terrimicrobium"	"NA"	"kai__1649503"
