"_N10_Nuria_S301_L001"	"_N11_Nuria_S302_L001"	"_N12_Nuria_S303_L001"	"_N1_Nuria_S292_L001"	"_N2_Nuria_S293_L001"	"_N3_Nuria_S294_L001"	"_N4_Nuria_S295_L001"	"_N5_Nuria_S296_L001"	"_N6_Nuria_S297_L001"	"_N7_Nuria_S298_L001"	"_N8_Nuria_S299_L001"	"_N9_Nuria_S300_L001"
"kai__1980693"	0	0	0	0	0	0	0	0	0.011053	0	0	0
"kai__1855714"	0	0	0	0	0	0	0	0	0.010132	0	0	0
"kai__1926677"	0	0	0	0	0	0	0	0	0.010049	0.001013	0	0
"kai__1470349"	0	0	0	0	0	0	0	0	0.009808	0	0	0
"kai__0028050"	0	0	0	0	0	0	0	0	0.009683	0	0	0
"kai__0100175"	0	0	0	0	0	0	0	0	0.009683	0	0	0
"kai__0001266"	0	0	0	0	0	0	0	0	0.008961	0	0	0
"kai__0596767"	0	0	0	0	0	0	0	0	0.008846	0	0	0
"kai__0698776"	0	0	0	0	0	0	0	0	0.008836	0	0	0
"kai__1987016"	0	0	0	0	0	0	0	0	0.008658	0	0	0
"kai__2163168"	0	0	0	0	0	0	0	0	0.00847	0	0	0
"kai__0158846"	0	0	0	0	0	0	0	0	0.008198	0	0	0
"kai__0002383"	0	0	0	0	0	0	0	0	0.008146	0	0	0
"kai__1164882"	0	0	0	0	0	0	0	0	0.008093	0	0	0
"kai__0001380"	0	0	0	0	0	0	0	0	0.007884	0	0	0
"kai__0135858"	0	0	0	0	0	0	0	0	0.007686	0	0	0
"kai__1987749"	0	0	0	0	0	0	0	0	0.007623	0	0	0
"kai__0264995"	0	0	0	0	0	0	0	0	0.007571	0	0	0
"kai__0653683"	0	0	0	0	0	0	0	0	0.00755	0	0	0
"kai__0195950"	0	0	0	0	0	0	0	0	0.007403	0.000572	0	0
"kai__0258514"	0	0	0	0	0	0	0	0	0.00709	0	0	0
"kai__0390805"	0	0	0	0	0	0	0	0	0.006954	0	0	0
"kai__1769710"	0	0	0	0	0	0	0	0	0.006954	0	0	0
"kai__1470353"	0	0	0	0	0	0	0	0	0.006891	0	0	0
"kai__1348911"	0	0	0	0	0	0	0	0	0.006797	0.001629	0.009925	0
"kai__0123375"	0	0	0	0	0	0	0	0	0.006713	0	0	0
"kai__1892380"	0	0	0	0	0	0	0	0	0.006713	0	0	0
"kai__0033951"	0	0	0	0	0	0	0	0	0.006441	0.000528	0	0
"kai__1738645"	0	0	0	0	0	0	0	0	0.006243	0	0	0
"kai__0508459"	0	0	0	0	0	0	0	0	0.006075	0	0	0
"kai__0036853"	0	0	0	0	0	0	0	0	0.00595	0	0	0
"kai__1926556"	0	0	0	0	0	0	0	0	0.005709	0	0	0
"kai__1348611"	0	0	0	0	0	0	0	0	0.005667	0	0	0
"kai__0001562"	0	0	0	0	0	0	0	0	0.005416	0.000572	0	0
"kai__0651554"	0	0	0	0	0	0	0	0	0.00526	0	0	0
"kai__0044258"	0	0	0	0	0	0	0	0	0.005113	0	0	0
"kai__0043996"	0	0	0	0	0	0	0	0	0.00504	0.000484	0	0
"kai__1981028"	0	0	0	0	0	0	0	0	0.005009	0	0	0
"kai__0001257"	0	0	0	0	0	0	0	0	0.004956	0	0	0
"kai__2304693"	0	0	0	0	0	0	0	0	0.004925	0	0	0
"kai__0253238"	0	0	0	0	0	0	0	0	0.004915	0	0	0
"kai__0002034"	0	0	0	0	0	0	0	0	0.004904	0.000792	0	0
"kai__0399320"	0	0	0	0	0	0	0	0	0.004695	0	0	0
"kai__1407607"	0	0	0	0	0	0	0	0	0.004643	0	0	0
"kai__0638847"	0	0	0	0	0	0	0	0	0.004632	0	0	0
"kai__0177971"	0	0	0	0	0	0	0	0	0.00459	0	0	0
"kai__0140625"	0	0	0	0	0	0	0	0	0.004559	0	0	0
"kai__0329857"	0	0	0	0	0	0	0	0	0.004496	0	0	0
"kai__0002375"	0	0	0	0	0	0	0	0	0.004434	0	0	0
"kai__1573535"	0	0	0	0	0	0	0	0	0.004413	0	0	0
"kai__2060094"	0	0	0	0	0	0	0	0	0.00435	0	0	0
"kai__2126002"	0	0	0	0	0	0	0	0	0.004256	0	0	0
"kai__0031980"	0	0	0	0	0	0	0	0	0.004193	0	0	0
"kai__0039948"	0	0	0	0	0	0	0	0	0.004172	0	0	0
"kai__0082373"	0	0	0	0	0	0	0	0	0.00412	0	0	0
"kai__2005386"	0	0	0	0	0	0	0	0	0.004109	0	0	0
"kai__1780122"	0	0	0	0	0	0	0	0	0.004068	0	0	0
"kai__1486725"	0	0	0	0	0	0	0	0	0.003973	0	0	0
"kai__2304691"	0	0	0	0	0	0	0	0	0.003932	0	0	0
"kai__0040544"	0	0	0	0	0	0	0	0	0.003743	0	0	0
"kai__0519427"	0	0	0	0	0	0	0	0	0.003681	0	0	0
"kai__0055080"	0	0	0	0	0	0	0	0	0.00366	0	0	0
"kai__0115543"	0	0	0	0	0	0	0	0	0.00366	0	0	0
"kai__1923867"	0	0	0	0	0	0	0	0	0.003618	0	0	0
"kai__1918540"	0	0	0	0	0	0	0	0	0.003607	0	0	0
"kai__0114627"	0	0	0	0	0	0	0	0	0.003566	0	0	0
"kai__0239934"	0	0	0	0	0	0	0	0	0.003524	0	0	0
